source,date,mean
GCAG,2016-12-06,0.7895
GISTEMP,2016-12-06,0.81
GCAG,2016-11-06,0.7504
GISTEMP,2016-11-06,0.93
GCAG,2016-10-06,0.7292
GISTEMP,2016-10-06,0.89
GCAG,2016-09-06,0.8767
GISTEMP,2016-09-06,0.87
GCAG,2016-08-06,0.8998
GISTEMP,2016-08-06,0.98
GCAG,2016-07-06,0.8687
GISTEMP,2016-07-06,0.83
GCAG,2016-06-06,0.9006
GISTEMP,2016-06-06,0.76
GCAG,2016-05-06,0.8738
GISTEMP,2016-05-06,0.93
GCAG,2016-04-06,1.0733
GISTEMP,2016-04-06,1.09
GCAG,2016-03-06,1.2245
GISTEMP,2016-03-06,1.3
GCAG,2016-02-06,1.1921
GISTEMP,2016-02-06,1.35
GCAG,2016-01-06,1.0569
GISTEMP,2016-01-06,1.17
GCAG,2015-12-06,1.1219
GISTEMP,2015-12-06,1.11
GCAG,2015-11-06,0.9655
GISTEMP,2015-11-06,1.04
GCAG,2015-10-06,0.9913
GISTEMP,2015-10-06,1.06
GCAG,2015-09-06,0.926
GISTEMP,2015-09-06,0.81
GCAG,2015-08-06,0.8746
GISTEMP,2015-08-06,0.78
GCAG,2015-07-06,0.8072
GISTEMP,2015-07-06,0.71
GCAG,2015-06-06,0.8835
GISTEMP,2015-06-06,0.78
GCAG,2015-05-06,0.8584
GISTEMP,2015-05-06,0.78
GCAG,2015-04-06,0.7741
GISTEMP,2015-04-06,0.74
GCAG,2015-03-06,0.8969
GISTEMP,2015-03-06,0.9
GCAG,2015-02-06,0.8843
GISTEMP,2015-02-06,0.86
GCAG,2015-01-06,0.8141
GISTEMP,2015-01-06,0.81
GCAG,2014-12-06,0.8308
GISTEMP,2014-12-06,0.79
GCAG,2014-11-06,0.6895
GISTEMP,2014-11-06,0.67
GCAG,2014-10-06,0.7851
GISTEMP,2014-10-06,0.85
GCAG,2014-09-06,0.7872
GISTEMP,2014-09-06,0.9
GCAG,2014-08-06,0.7986
GISTEMP,2014-08-06,0.82
GCAG,2014-07-06,0.6988
GISTEMP,2014-07-06,0.57
GCAG,2014-06-06,0.7623
GISTEMP,2014-06-06,0.66
GCAG,2014-05-06,0.7938
GISTEMP,2014-05-06,0.87
GCAG,2014-04-06,0.8006
GISTEMP,2014-04-06,0.78
GCAG,2014-03-06,0.7695
GISTEMP,2014-03-06,0.77
GCAG,2014-02-06,0.48
GISTEMP,2014-02-06,0.51
GCAG,2014-01-06,0.6936
GISTEMP,2014-01-06,0.73
GCAG,2013-12-06,0.6981
GISTEMP,2013-12-06,0.67
GCAG,2013-11-06,0.8293
GISTEMP,2013-11-06,0.81
GCAG,2013-10-06,0.6787
GISTEMP,2013-10-06,0.69
GCAG,2013-09-06,0.6857
GISTEMP,2013-09-06,0.78
GCAG,2013-08-06,0.6605
GISTEMP,2013-08-06,0.66
GCAG,2013-07-06,0.6662
GISTEMP,2013-07-06,0.59
GCAG,2013-06-06,0.6838
GISTEMP,2013-06-06,0.65
GCAG,2013-05-06,0.7141
GISTEMP,2013-05-06,0.61
GCAG,2013-04-06,0.561
GISTEMP,2013-04-06,0.52
GCAG,2013-03-06,0.6139
GISTEMP,2013-03-06,0.66
GCAG,2013-02-06,0.6357
GISTEMP,2013-02-06,0.55
GCAG,2013-01-06,0.5873
GISTEMP,2013-01-06,0.68
GCAG,2012-12-06,0.4655
