,country,primary_fuel,2013,2014,2015,2016,2017
0,Azerbaijan,Gas,0.0,0.0,0.0,0.0,18282.61
1,Azerbaijan,Hydro,2216.7799999999997,2613.37,2636.6400000000003,2729.91,2209.59
2,Azerbaijan,Oil,0.0,0.0,0.0,0.0,1260.9
3,Bangladesh,Coal,0.0,0.0,0.0,0.0,902.32
4,Bangladesh,Gas,0.0,0.0,0.0,0.0,57916.02
5,Bangladesh,Hydro,816.76,643.15,830.42,936.24,945.31
6,Bangladesh,Oil,0.0,0.0,0.0,0.0,8052.500000000003
7,Bangladesh,Solar,67.97,71.34,66.25999999999999,59.59,59.300000000000004
8,Bhutan,Hydro,5009.12,5532.33,5328.63,5856.62,5144.700000000001
9,China,Coal,0.0,0.0,0.0,0.0,4656913.399999993
10,China,Gas,0.0,0.0,0.0,0.0,181152.38999999987
11,China,Geothermal,0.0,0.0,0.0,0.0,114.74
12,China,Hydro,657440.7099999986,842194.8300000017,819941.2200000007,921864.0300000004,923375.8900000019
13,China,Nuclear,0.0,0.0,0.0,0.0,246593.44
14,China,Oil,0.0,0.0,0.0,0.0,1617.98
15,China,Solar,87670.03000000013,87336.22999999995,87990.0500000001,88318.27999999991,88735.92999999995
16,China,Wind,0.0,0.0,0.0,0.0,94613.9799999991
17,India,Biomass,0.0,0.0,0.0,0.0,0.0
18,India,Coal,0.0,0.0,0.0,0.0,1079504.29
19,India,Gas,0.0,0.0,0.0,0.0,78495.62000000001
20,India,Hydro,180061.3099999999,154518.36999999997,172022.13999999996,133683.0,150461.94999999992
21,India,Nuclear,0.0,0.0,0.0,0.0,58757.00000000001
22,India,Oil,0.0,0.0,0.0,0.0,8334.4
23,India,Solar,52571.41999999998,52922.00999999997,53815.009999999966,54481.86000000003,53634.12999999998
24,India,Wind,0.0,0.0,0.0,0.0,5292.26
25,Indonesia,Coal,0.0,0.0,0.0,0.0,159629.09000000003
26,Indonesia,Gas,0.0,0.0,0.0,0.0,53375.59
27,Indonesia,Geothermal,0.0,0.0,0.0,0.0,0.0
28,Indonesia,Hydro,14517.199999999999,10676.280000000002,12878.43,14260.070000000002,14229.550000000007
29,Indonesia,Oil,0.0,0.0,0.0,0.0,1275.8300000000002
30,Iran,Gas,0.0,0.0,0.0,0.0,201857.32
31,Iran,Hydro,27016.809999999998,25476.079999999998,23151.98,26200.72,24920.46
32,Iran,Nuclear,0.0,0.0,0.0,0.0,7514.0
33,Iran,Oil,0.0,0.0,0.0,0.0,31177.460000000003
34,Iran,Solar,194.5,183.60000000000002,185.73000000000002,186.81,189.75
35,Iran,Wind,0.0,0.0,246.68,257.08,227.17
36,Iraq,Gas,0.0,0.0,0.0,0.0,20401.29
37,Iraq,Hydro,7818.49,5292.86,6774.74,6778.04,5526.360000000001
38,Iraq,Oil,0.0,0.0,0.0,0.0,24548.069999999996
39,Japan,Coal,0.0,0.0,0.0,0.0,272740.41
40,Japan,Gas,0.0,0.0,0.0,0.0,241429.38000000006
41,Japan,Geothermal,0.0,0.0,0.0,0.0,2415.7
42,Japan,Hydro,74092.84,58929.39000000001,96088.99999999999,73763.94000000002,58847.97999999999
43,Japan,Nuclear,0.0,0.0,0.0,0.0,339800.33999999997
44,Japan,Oil,0.0,0.0,0.0,0.0,73768.14
45,Japan,Solar,9716.760000000013,9144.639999999994,9039.080000000007,9175.630000000001,9188.649999999998
46,Japan,Waste,0.0,0.0,0.0,0.0,76.17
47,Japan,Wind,223.7,216.1,276.73,270.03000000000003,305.24
48,Jordan,Gas,0.0,0.0,0.0,0.0,21795.67
49,Jordan,Oil,0.0,0.0,0.0,0.0,967.31
50,Jordan,Solar,1330.9899999999998,1362.0600000000002,1296.2200000000003,1368.7299999999998,1358.38
51,Kazakhstan,Coal,0.0,0.0,0.0,0.0,93250.53000000003
52,Kazakhstan,Gas,0.0,0.0,0.0,0.0,1747.56
53,Kazakhstan,Hydro,4638.54,6740.31,6129.699999999999,7117.0599999999995,7392.15
54,Kazakhstan,Solar,365.71000000000004,323.11,323.36,426.22,449.68
55,Kuwait,Gas,0.0,0.0,0.0,0.0,58477.28
56,Kuwait,Solar,16.66,16.48,16.11,16.34,16.49
57,Kyrgyzstan,Coal,0.0,0.0,0.0,0.0,1259.94
58,Kyrgyzstan,Hydro,7428.4400000000005,7357.91,9723.27,9753.58,10335.46
59,Kyrgyzstan,Oil,0.0,0.0,0.0,0.0,0.0
60,Laos,Coal,0.0,0.0,0.0,0.0,0.0
61,Laos,Hydro,8361.24,8170.529999999999,9741.099999999999,9800.169999999998,11765.41
62,Lebanon,Gas,0.0,0.0,0.0,0.0,0.0
63,Lebanon,Oil,0.0,0.0,0.0,0.0,0.0
64,Liberia,Hydro,305.05,305.05,281.19,195.88,218.71
65,Liberia,Oil,0.0,0.0,0.0,0.0,0.0
66,Libya,Gas,0.0,0.0,0.0,0.0,23602.29
67,Libya,Oil,0.0,0.0,0.0,0.0,845.38
68,Malaysia,Biomass,0.0,0.0,0.0,0.0,0.0
69,Malaysia,Coal,0.0,0.0,0.0,0.0,92749.98000000001
70,Malaysia,Gas,0.0,0.0,0.0,0.0,66610.09999999999
71,Malaysia,Hydro,5009.429999999999,5117.620000000001,5003.33,5785.259999999999,4723.72
72,Malaysia,Oil,0.0,0.0,0.0,0.0,84.25
73,Malaysia,Solar,469.99,478.12,512.62,486.84000000000003,488.58
74,Mongolia,Coal,0.0,0.0,0.0,0.0,4647.73
75,Mongolia,Solar,79.32000000000001,79.67999999999999,80.28999999999999,76.77000000000001,77.21
76,Mongolia,Wind,0.0,147.55,199.94,179.43,125.39
77,Myanmar,Coal,0.0,0.0,0.0,0.0,0.0
78,Myanmar,Gas,0.0,0.0,0.0,0.0,5751.68
79,Myanmar,Hydro,11340.47,8126.92,9557.74,11246.58,10165.58
80,Myanmar,Solar,113.31,112.75,111.41,102.1,106.24
81,Nepal,Hydro,2122.5000000000005,2048.73,2601.870000000001,2148.0400000000004,2055.05
82,Nepal,Solar,61.97,65.12,64.89999999999999,63.17,65.33
83,North Korea,Coal,0.0,0.0,0.0,0.0,3761.58
84,North Korea,Hydro,10297.44,10270.449999999999,11612.58,9421.900000000001,9252.71
85,Pakistan,Coal,0.0,0.0,0.0,0.0,0.0
86,Pakistan,Gas,0.0,0.0,0.0,0.0,16471.87
87,Pakistan,Hydro,30468.690000000002,30424.850000000002,29834.53,29421.05,30646.88
88,Pakistan,Nuclear,0.0,0.0,0.0,0.0,0.0
89,Pakistan,Oil,0.0,0.0,0.0,0.0,22857.37000000001
90,Pakistan,Solar,520.1899999999999,514.39,588.9,1358.98,1211.26
91,Pakistan,Wind,0.0,0.0,268.3,414.43,1214.52
92,Palestine,Solar,16.55,15.45,14.67,16.29,15.01
93,Philippines,Biomass,0.0,0.0,0.0,0.0,0.0
94,Philippines,Coal,0.0,0.0,0.0,0.0,55020.259999999995
95,Philippines,Gas,0.0,0.0,0.0,0.0,24516.559999999998
96,Philippines,Geothermal,0.0,0.0,0.0,0.0,9767.06
97,Philippines,Hydro,7734.639999999999,9851.77,7652.760000000001,8755.099999999999,9589.33
98,Philippines,Oil,0.0,0.0,0.0,0.0,1583.97
99,Philippines,Solar,928.0400000000001,990.2,1127.5,994.1399999999999,2101.2000000000003
100,Philippines,Wind,0.0,0.0,0.0,0.0,132.94
101,Qatar,Gas,0.0,0.0,0.0,0.0,53987.72
102,Singapore,Gas,0.0,0.0,0.0,0.0,52740.09
103,Singapore,Oil,0.0,0.0,0.0,0.0,384.77
104,Singapore,Waste,0.0,0.0,0.0,0.0,127.19
105,South Korea,Biomass,0.0,0.0,0.0,0.0,0.0
106,South Korea,Coal,0.0,0.0,0.0,0.0,250673.71
107,South Korea,Gas,0.0,0.0,0.0,0.0,130792.34000000001
108,South Korea,Hydro,14984.779999999999,9774.9,7836.2,10315.39,9323.529999999997
109,South Korea,Nuclear,0.0,0.0,0.0,0.0,146609.91999999998
110,South Korea,Oil,0.0,0.0,0.0,0.0,9665.880000000001
111,South Korea,Solar,280.2799999999999,275.15000000000003,289.45000000000005,276.7,294.24999999999994
112,South Korea,Waste,0.0,0.0,0.0,0.0,5.99
113,South Korea,Wave and Tidal,0.0,0.0,0.0,0.0,0.0
114,South Korea,Wind,219.15,225.54,211.18,259.56,768.1299999999999
115,Sri Lanka,Coal,0.0,0.0,0.0,0.0,5103.0
116,Sri Lanka,Hydro,5498.879999999999,4598.12,3481.0299999999997,3664.3899999999994,4415.9800000000005
117,Sri Lanka,Oil,0.0,0.0,0.0,0.0,5606.629999999999
118,Sri Lanka,Solar,81.15,88.07000000000001,85.57000000000001,98.19,86.80000000000001
119,Sri Lanka,Wind,0.0,0.0,0.0,0.0,324.62
120,Syrian Arab Republic,Gas,0.0,0.0,0.0,0.0,5178.18
121,Syrian Arab Republic,Hydro,4224.93,3331.46,3867.2799999999997,3228.2000000000003,3240.44
122,Syrian Arab Republic,Oil,0.0,0.0,0.0,0.0,17024.74
123,Taiwan,Coal,0.0,0.0,0.0,0.0,100338.57999999999
124,Taiwan,Gas,0.0,0.0,0.0,0.0,0.0
125,Taiwan,Hydro,11774.72,15981.65,15973.47,12044.88,12250.289999999999
126,Taiwan,Nuclear,0.0,0.0,0.0,0.0,22445.989999999998
127,Taiwan,Oil,0.0,0.0,0.0,0.0,4264.88
128,Taiwan,Solar,217.69,217.39000000000001,243.53,213.89,219.3
129,Taiwan,Wind,456.96999999999997,378.99,374.44,387.72,467.14
130,Tajikistan,Hydro,14478.85,17310.050000000003,17069.079999999998,17102.83,17054.92
131,Tajikistan,Oil,0.0,0.0,0.0,0.0,0.0
132,Thailand,Biomass,0.0,0.0,0.0,0.0,0.0
133,Thailand,Coal,0.0,0.0,0.0,0.0,32679.03
134,Thailand,Gas,0.0,0.0,0.0,0.0,126640.09000000001
135,Thailand,Hydro,14574.529999999999,14515.390000000001,9271.17,9269.260000000002,9404.149999999998
136,Thailand,Solar,2586.5400000000013,2578.1699999999983,2809.639999999999,2485.3799999999997,2474.829999999998
137,Thailand,Wind,9.16,7.54,6.63,5.78,370.3
138,Turkmenistan,Gas,0.0,0.0,0.0,0.0,4638.54
139,Turkmenistan,Oil,0.0,0.0,0.0,0.0,0.0
140,United Arab Emirates,Gas,0.0,0.0,0.0,0.0,138219.43999999997
141,United Arab Emirates,Solar,1536.27,1941.6799999999998,1901.79,1900.33,1873.63
142,Uzbekistan,Coal,0.0,0.0,0.0,0.0,2362.1
143,Uzbekistan,Gas,0.0,0.0,0.0,0.0,47884.399999999994
144,Uzbekistan,Hydro,3698.46,3805.6400000000003,3842.55,4660.47,5186.74
145,Uzbekistan,Oil,0.0,0.0,0.0,0.0,121.55
146,Uzbekistan,Solar,207.22,209.44,182.86,187.58,177.96
147,Vietnam,Biomass,0.0,0.0,0.0,0.0,0.0
148,Vietnam,Coal,0.0,0.0,0.0,0.0,70339.01999999999
149,Vietnam,Gas,0.0,0.0,0.0,0.0,60848.990000000005
150,Vietnam,Hydro,63523.87000000002,62380.460000000014,54173.40000000002,62541.31999999998,43331.67
