,country_long,primary_fuel,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017
0,Taiwan,Coal,0.0,0.0,0.0,0.0,100338.57999999999
1,Taiwan,Gas,0.0,0.0,0.0,0.0,0.0
2,Taiwan,Hydro,11774.72,15981.65,15973.47,12044.88,12250.289999999999
3,Taiwan,Nuclear,0.0,0.0,0.0,0.0,22445.989999999998
4,Taiwan,Oil,0.0,0.0,0.0,0.0,4264.88
5,Taiwan,Solar,217.69,217.39000000000001,243.53,213.89,219.3
6,Taiwan,Wind,456.96999999999997,378.99,374.44,387.72,467.14
7,Taiwan,Nuclear,0.0,0.0,0.0,0.0,0.0
8,Taiwan,Cogeneration,0.0,0.0,0.0,0.0,0.0
9,Taiwan,Storage,0.0,0.0,0.0,0.0,0.0
10,Taiwan,Geothermal,0.0,0.0,0.0,0.0,0.0
11,Taiwan,Wave and Tidal,0.0,0.0,0.0,0.0,0.0
12,Taiwan,Biomass,0.0,0.0,0.0,0.0,0.0
13,Taiwan,Waste,0.0,0.0,0.0,0.0,0.0
14,Taiwan,Petcoke,0.0,0.0,0.0,0.0,0.0
15,Taiwan,Other,0.0,0.0,0.0,0.0,0.0


