Country,Biomass,Coal,Cogeneration,Gas,Geothermal,Hydro,Nuclear,Oil,Other,Petcoke,Solar,Storage,Waste,Wave and Tidal,Wind
Afghanistan,0.0,0.0,0.0,0.0,0.0,791.07,0.0,0.0,0.0,0.0,37.01,0.0,0.0,0.0,0.0
Albania,0.0,0.0,0.0,0.0,0.0,4608.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,0.0,0.0,0.0,63380.369999999995,0.0,30.82,0.0,0.0,0.0,0.0,1157.6200000000001,0.0,0.0,0.0,0.0
Angola,0.0,0.0,0.0,0.0,0.0,2664.7700000000004,0.0,389.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antarctica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,0.0,25175.760000000002,0.0,73047.28999999998,0.0,24434.53,6212.98,5433.0199999999995,0.0,0.0,1165.9399999999998,0.0,0.0,0.0,1330.1299999999999
Armenia,0.0,0.0,0.0,11677.88,0.0,1435.0400000000002,2411.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,0.0,164961.11,0.0,55500.38000000001,0.0,26896.85000000001,0.0,2123.53,0.0,0.0,9405.45,0.0,0.0,0.0,15009.939999999999
Austria,0.0,0.0,0.0,6195.26,0.0,29034.120000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.16
Azerbaijan,0.0,0.0,0.0,18282.61,0.0,2209.59,0.0,1260.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahrain,0.0,0.0,0.0,48993.899999999994,0.0,0.0,0.0,0.04,0.0,0.0,9.76,0.0,0.0,0.0,0.0
Bangladesh,0.0,902.32,0.0,57916.02,0.0,945.31,0.0,8052.500000000003,0.0,0.0,59.300000000000004,0.0,0.0,0.0,0.0
Belarus,0.0,0.0,0.0,33619.52999999999,0.0,0.0,0.0,0.0,0.0,0.0,345.5900000000001,0.0,0.0,0.0,0.0
Belgium,0.0,0.0,0.0,16070.919999999998,0.0,4880.759999999999,41142.5,41.88,0.0,0.0,168.66,0.0,374.8,0.0,2755.94
Benin,0.0,0.0,0.0,70.87,0.0,0.0,0.0,31.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhutan,0.0,0.0,0.0,0.0,0.0,5144.700000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bolivia,0.0,0.0,0.0,5486.8099999999995,0.0,1183.5000000000002,0.0,0.0,0.0,0.0,125.11000000000001,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,0.0,10714.17,0.0,0.0,0.0,6903.210000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,0.0,2987.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,0.0,20900.199999999997,0.0,74396.61999999998,0.0,350682.3899999999,15189.419999999998,16360.689999999999,334.96,0.0,4315.789999999999,0.0,0.0,0.0,36686.79999999999
Brunei Darussalam,0.0,0.0,0.0,2600.0699999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulgaria,0.0,22028.289999999997,0.0,0.0,0.0,3516.6,15544.99,0.0,0.0,0.0,440.71000000000004,0.0,0.0,0.0,335.96
Burkina Faso,0.0,0.0,0.0,0.0,0.0,103.53,0.0,0.0,0.0,0.0,106.43,0.0,0.0,0.0,0.0
Burundi,0.0,0.0,0.0,0.0,0.0,141.14,0.0,0.0,0.0,0.0,16.78,0.0,0.0,0.0,0.0
Cambodia,0.0,0.0,0.0,0.0,0.0,2113.3999999999996,0.0,51.72,0.0,0.0,39.87,0.0,0.0,0.0,0.0
Cameroon,0.0,0.0,0.0,0.0,0.0,2983.33,0.0,329.09999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,0.0,64444.490000000005,0.0,69091.58,0.0,356540.36000000034,99266.49,3298.1600000000003,140.03,0.0,2566.1800000000007,0.0,0.0,0.0,28149.92
Cape Verde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.99,0.0,0.0,0.0,0.0
Central African Republic,0.0,0.0,0.0,0.0,0.0,64.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chile,0.0,26698.18,0.0,11960.31,0.0,19279.140000000007,0.0,1714.4700000000003,0.0,0.0,9828.67,0.0,0.0,0.0,2490.419999999999
China,0.0,4656913.399999993,0.0,181152.38999999987,114.74,923375.8900000019,246593.44,1617.98,0.0,0.0,88735.92999999995,0.0,0.0,0.0,94613.9799999991
Colombia,0.0,2904.2700000000004,0.0,8281.15,0.0,22443.709999999995,0.0,770.66,0.0,0.0,170.94,0.0,0.0,0.0,0.0
Congo,0.0,0.0,0.0,2142.52,0.0,737.1700000000001,0.0,104.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Costa Rica,0.0,0.0,0.0,0.0,1041.79,4270.78,0.0,29.7,0.0,0.0,9.65,0.0,0.0,0.0,0.0
Cote DIvoire,0.0,0.0,0.0,0.0,0.0,2145.5699999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Croatia,0.0,1346.59,0.0,3531.18,0.0,5372.43,0.0,190.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cuba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10771.009999999998,0.0,0.0,17.98,0.0,0.0,0.0,20.14
Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1563.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czech Republic,0.0,37797.03000000001,0.0,3105.24,0.0,2101.72,29100.09,0.0,0.0,0.0,1639.5499999999993,0.0,0.0,0.0,0.0
Democratic Republic of the Congo,0.0,0.0,0.0,3.44,0.0,9967.940000000002,0.0,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denmark,0.0,12425.279999999999,0.0,402.9699999999999,0.0,0.0,0.0,174.67,0.0,0.0,360.95000000000005,0.0,0.0,0.0,4583.3600000000015
Djibouti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominican Republic,0.0,0.0,0.0,0.0,0.0,519.49,0.0,2894.47,0.0,0.0,256.10999999999996,0.0,0.0,0.0,150.37
Ecuador,0.0,0.0,0.0,2887.48,0.0,13600.490000000002,0.0,959.2099999999999,0.0,0.0,106.36,0.0,0.0,0.0,0.0
Egypt,0.0,0.0,0.0,134899.58,0.0,12621.0,0.0,0.0,0.0,0.0,1780.81,0.0,0.0,0.0,1604.53
El Salvador,0.0,0.0,0.0,0.0,1565.6100000000001,1169.11,0.0,836.79,0.0,0.0,653.7599999999999,0.0,0.0,0.0,0.0
Equatorial Guinea,0.0,0.0,0.0,0.0,0.0,211.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eritrea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Estonia,0.0,0.0,0.0,57.150000000000006,0.0,0.0,0.0,106.56,0.0,0.0,0.0,0.0,0.0,0.0,763.33
Ethiopia,0.0,0.0,0.0,0.0,0.0,13464.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492.37
Fiji,0.0,0.0,0.0,0.0,0.0,468.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.52
Finland,0.0,4683.2,0.0,2801.75,0.0,10425.229999999998,21780.52,107.94,836.1600000000001,0.0,0.0,0.0,0.0,0.0,179.64999999999998
France,0.0,16319.679999999998,0.0,20143.829999999998,0.0,64022.10000000001,381718.79,4693.46,0.0,0.0,8348.260000000002,0.0,0.0,0.0,16569.980000000007
French Guiana,0.0,0.0,0.0,0.0,0.0,399.29,0.0,0.0,0.0,0.0,9.84,0.0,0.0,0.0,0.0
Gabon,0.0,0.0,0.0,0.0,0.0,938.07,0.0,17.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gambia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Georgia,0.0,0.0,0.0,4926.45,0.0,6295.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,0.0,234868.54,0.0,94676.14000000001,0.0,24315.580000000013,75073.97,4256.610000000001,2502.4300000000003,0.0,9888.060000000014,0.0,3342.9500000000003,0.0,15607.74
